,o_rtg,d_rtg,n_rtg,ast_per_game,pace,ts_percent,e_fg_percent,tov_percent,orb_percent,opp_e_fg_percent,w,l,team,season,Champion
212,106.9,110.6,-3.7,23.7,98.9,0.551,0.514,13.6,21.0,0.517,28.0,54.0,Brooklyn Nets,2018,0
213,103.8,110.9,-7.1,23.5,98.3,0.529,0.497,12.6,20.6,0.542,27.0,55.0,Chicago Bulls,2018,0
214,109.4,109.1,0.3,21.6,98.4,0.549,0.508,11.4,22.2,0.532,36.0,46.0,Charlotte Hornets,2018,0
215,112.9,111.9,1.0,23.4,98.0,0.584,0.547,12.6,20.1,0.54,50.0,32.0,Cleveland Cavaliers,2018,0
216,106.3,109.5,-3.2,22.7,95.6,0.544,0.513,11.6,18.0,0.532,24.0,58.0,Dallas Mavericks,2018,0
217,112.5,111.0,1.5,25.1,96.8,0.57,0.536,13.4,25.7,0.539,46.0,36.0,Denver Nuggets,2018,0
218,107.2,107.3,-0.1,22.8,96.2,0.543,0.512,12.3,22.7,0.524,39.0,43.0,Detroit Pistons,2018,0
219,113.6,107.6,6.0,29.3,99.6,0.603,0.569,14.1,21.0,0.504,58.0,24.0,Golden State Warriors,2018,1
220,114.7,106.1,8.6,21.5,97.6,0.59,0.551,12.7,21.3,0.521,65.0,17.0,Houston Rockets,2018,0
221,109.5,108.1,1.4,22.2,96.0,0.557,0.525,12.3,22.7,0.527,48.0,34.0,Indiana Pacers,2018,0
222,110.3,110.2,0.1,22.3,98.7,0.564,0.527,13.2,23.5,0.52,42.0,40.0,Los Angeles Clippers,2018,0
223,106.5,108.0,-1.5,23.8,100.3,0.548,0.517,13.8,23.6,0.514,35.0,47.0,Los Angeles Lakers,2018,0
224,104.5,111.0,-6.5,21.5,94.9,0.539,0.5,14.0,22.4,0.529,22.0,60.0,Memphis Grizzlies,2018,0
225,106.8,106.3,0.5,22.7,95.6,0.551,0.52,13.3,21.5,0.507,44.0,38.0,Miami Heat,2018,0
226,109.8,110.1,-0.3,23.2,96.2,0.571,0.531,12.9,20.4,0.528,44.0,38.0,Milwaukee Bucks,2018,0
227,113.4,111.1,2.3,22.7,96.0,0.566,0.523,11.4,24.4,0.539,47.0,35.0,Minnesota Timberwolves,2018,0
228,109.6,108.3,1.3,26.8,100.5,0.573,0.541,13.3,20.0,0.513,48.0,34.0,New Orleans Pelicans,2018,0
229,107.1,110.7,-3.6,23.3,96.8,0.544,0.51,13.3,24.1,0.522,29.0,53.0,New York Knicks,2018,0
230,110.7,107.2,3.5,21.3,96.7,0.546,0.514,12.4,27.7,0.525,48.0,34.0,Oklahoma City Thunder,2018,0
231,105.2,110.1,-4.9,23.4,98.1,0.545,0.512,13.3,20.0,0.525,25.0,57.0,Orlando Magic,2018,0
232,109.5,105.0,4.5,27.1,99.8,0.568,0.535,14.6,25.3,0.492,52.0,30.0,Philadelphia 76ers,2018,0
233,103.5,112.8,-9.3,21.3,100.3,0.532,0.495,13.9,22.5,0.533,21.0,61.0,Phoenix Suns,2018,0
234,109.1,106.4,2.7,19.5,96.5,0.549,0.511,12.3,23.3,0.503,49.0,33.0,Portland Trail Blazers,2018,0
235,103.7,111.1,-7.4,21.6,94.9,0.529,0.502,12.8,21.5,0.542,27.0,55.0,Sacramento Kings,2018,0
236,107.9,104.8,3.1,22.8,95.0,0.543,0.507,12.2,23.7,0.507,47.0,35.0,San Antonio Spurs,2018,0
237,113.8,105.9,7.9,24.3,97.4,0.575,0.539,12.1,23.0,0.501,59.0,23.0,Toronto Raptors,2018,0
238,108.4,103.9,4.5,22.4,95.7,0.564,0.527,13.7,21.5,0.506,48.0,34.0,Utah Jazz,2018,0
239,109.3,108.7,0.6,25.2,96.6,0.56,0.525,13.3,23.5,0.522,43.0,39.0,Washington Wizards,2018,0
240,104.9,105.7,-0.8,23.6,97.4,0.541,0.504,14.2,23.6,0.507,43.0,39.0,Atlanta Hawks,2017,0
241,111.2,108.4,2.8,25.2,96.8,0.567,0.525,12.2,21.2,0.503,53.0,29.0,Boston Celtics,2017,0
242,104.1,110.7,-6.6,21.4,101.3,0.551,0.507,14.7,19.6,0.513,20.0,62.0,Brooklyn Nets,2017,0
243,107.4,107.0,0.4,22.6,95.3,0.53,0.487,12.3,27.0,0.507,41.0,41.0,Chicago Bulls,2017,0
244,108.8,108.6,0.2,23.1,95.7,0.547,0.501,10.7,19.9,0.523,36.0,46.0,Charlotte Hornets,2017,0
245,113.6,110.3,3.3,22.7,96.2,0.58,0.547,12.6,21.9,0.516,51.0,31.0,Cleveland Cavaliers,2017,0
246,105.6,108.8,-3.2,20.8,92.2,0.541,0.505,11.6,18.1,0.529,33.0,49.0,Dallas Mavericks,2017,0
247,113.2,112.7,0.5,25.3,98.3,0.568,0.53,13.2,27.3,0.532,40.0,42.0,Denver Nuggets,2017,0
248,106.0,107.1,-1.1,21.1,95.0,0.521,0.492,10.9,24.1,0.516,37.0,45.0,Detroit Pistons,2017,0
249,115.6,104.0,11.6,30.4,99.8,0.597,0.563,13.2,22.8,0.486,67.0,15.0,Golden State Warriors,2017,1
250,114.7,109.0,5.7,25.2,100.0,0.583,0.545,13.3,24.6,0.519,55.0,27.0,Houston Rockets,2017,0
251,108.6,108.8,-0.2,22.5,95.9,0.558,0.516,12.8,21.2,0.512,42.0,40.0,Indiana Pacers,2017,0
252,112.7,108.2,4.5,22.5,96.1,0.574,0.537,12.0,21.5,0.506,51.0,31.0,Los Angeles Clippers,2017,0
253,106.0,113.0,-7.0,20.9,98.5,0.537,0.501,13.5,25.0,0.542,26.0,56.0,Los Angeles Lakers,2017,0
254,107.7,107.1,0.6,21.3,92.3,0.535,0.491,12.1,24.8,0.506,43.0,39.0,Memphis Grizzlies,2017,0
255,107.8,106.7,1.1,21.2,95.2,0.541,0.512,12.4,24.2,0.496,41.0,41.0,Miami Heat,2017,0
256,109.1,109.3,-0.2,24.2,94.5,0.565,0.527,13.2,21.5,0.518,42.0,40.0,Milwaukee Bucks,2017,0
257,110.8,112.0,-1.2,23.7,94.6,0.555,0.511,12.9,27.2,0.535,31.0,51.0,Minnesota Timberwolves,2017,0
258,105.2,107.4,-2.2,22.8,98.0,0.539,0.504,11.7,18.5,0.509,34.0,48.0,New Orleans Pelicans,2017,0
259,107.7,111.5,-3.8,21.8,96.0,0.534,0.496,12.4,26.6,0.511,31.0,51.0,New York Knicks,2017,0
260,108.3,107.5,0.8,21.0,97.8,0.54,0.5,13.2,27.9,0.511,47.0,35.0,Oklahoma City Thunder,2017,0
261,103.7,110.5,-6.8,22.2,96.8,0.524,0.489,12.1,21.6,0.523,29.0,53.0,Orlando Magic,2017,0
262,103.2,108.9,-5.7,23.8,98.5,0.539,0.501,14.9,22.4,0.512,28.0,54.0,Philadelphia 76ers,2017,0
263,106.6,112.2,-5.6,19.6,100.3,0.538,0.493,13.4,26.0,0.525,24.0,58.0,Phoenix Suns,2017,0
264,110.3,110.8,-0.5,21.1,96.7,0.559,0.52,12.5,23.0,0.508,41.0,41.0,Portland Trail Blazers,2017,0
265,107.3,111.3,-4.0,22.5,94.9,0.556,0.516,13.7,21.0,0.528,32.0,50.0,Sacramento Kings,2017,0
266,111.1,103.5,7.6,23.8,94.2,0.564,0.524,12.6,24.0,0.492,61.0,21.0,San Antonio Spurs,2017,0
267,112.3,107.8,4.5,18.5,94.7,0.561,0.517,11.8,25.0,0.507,51.0,31.0,Toronto Raptors,2017,0
268,109.6,105.3,4.3,20.1,91.6,0.563,0.526,13.2,23.2,0.493,51.0,31.0,Utah Jazz,2017,0
269,111.2,109.3,1.9,23.9,97.4,0.564,0.528,12.8,24.1,0.524,49.0,33.0,Washington Wizards,2017,0
270,105.1,101.4,3.7,25.6,97.1,0.552,0.516,13.8,19.1,0.48,48.0,34.0,Atlanta Hawks,2016,0
271,106.8,103.6,3.2,24.2,98.5,0.531,0.488,12.1,25.1,0.487,48.0,34.0,Boston Celtics,2016,0
272,103.2,110.9,-7.7,22.3,95.2,0.527,0.492,13.6,24.1,0.534,21.0,61.0,Brooklyn Nets,2016,0
273,105.0,106.5,-1.5,22.8,95.7,0.526,0.487,12.6,24.5,0.485,42.0,40.0,Chicago Bulls,2016,0
274,107.1,104.3,2.8,21.7,95.7,0.545,0.502,11.7,20.0,0.496,48.0,34.0,Charlotte Hornets,2016,0
275,110.9,104.5,6.4,22.7,93.3,0.558,0.524,12.7,25.1,0.496,57.0,25.0,Cleveland Cavaliers,2016,1
276,106.7,107.0,-0.3,22.1,94.3,0.544,0.502,12.0,20.6,0.504,42.0,40.0,Dallas Mavericks,2016,0
277,105.6,108.9,-3.3,22.7,95.7,0.531,0.489,13.2,25.8,0.515,33.0,49.0,Denver Nuggets,2016,0
278,106.1,105.5,0.6,19.4,95.1,0.522,0.491,12.2,27.0,0.504,44.0,38.0,Detroit Pistons,2016,0
279,114.5,103.8,10.7,28.9,99.3,0.593,0.563,13.5,23.5,0.479,73.0,9.0,Golden State Warriors,2016,0
280,108.3,108.1,0.2,22.2,97.6,0.553,0.516,14.2,25.7,0.516,41.0,41.0,Houston Rockets,2016,0
281,104.6,102.9,1.7,21.2,96.6,0.536,0.497,13.5,23.4,0.489,45.0,37.0,Indiana Pacers,2016,0
282,108.3,103.8,4.5,22.8,95.8,0.556,0.524,12.1,20.1,0.48,53.0,29.0,Los Angeles Clippers,2016,0
283,101.6,111.6,-10.0,18.0,95.6,0.509,0.46,12.5,23.1,0.523,17.0,65.0,Los Angeles Lakers,2016,0
284,105.4,107.8,-2.4,20.7,93.3,0.524,0.477,12.3,25.3,0.518,42.0,40.0,Memphis Grizzlies,2016,0
285,106.1,104.4,1.7,20.8,93.6,0.545,0.508,13.3,23.8,0.485,48.0,34.0,Miami Heat,2016,0
286,104.3,108.7,-4.4,23.1,94.2,0.537,0.499,14.2,24.9,0.51,33.0,49.0,Milwaukee Bucks,2016,0
287,106.5,110.1,-3.6,23.4,95.2,0.549,0.498,13.9,24.3,0.524,29.0,53.0,Minnesota Timberwolves,2016,0
288,105.6,109.5,-3.9,22.2,96.8,0.537,0.498,12.3,21.2,0.523,30.0,52.0,New Orleans Pelicans,2016,0
289,104.6,107.6,-3.0,20.5,93.4,0.527,0.483,12.6,23.7,0.487,32.0,50.0,New York Knicks,2016,0
290,113.1,105.6,7.5,23.0,96.7,0.565,0.524,14.0,31.1,0.484,55.0,27.0,Oklahoma City Thunder,2016,0
291,105.1,106.8,-1.7,23.6,96.0,0.533,0.5,12.8,23.1,0.513,35.0,47.0,Orlando Magic,2016,0
292,98.8,109.2,-10.4,21.5,97.9,0.519,0.487,14.8,20.6,0.51,10.0,72.0,Philadelphia 76ers,2016,0
293,102.2,109.0,-6.8,20.7,98.5,0.526,0.487,15.2,25.4,0.523,23.0,59.0,Phoenix Suns,2016,0
294,108.8,108.0,0.8,21.3,96.0,0.548,0.511,13.2,25.9,0.503,44.0,38.0,Portland Trail Blazers,2016,0
295,106.0,108.4,-2.4,24.5,100.0,0.546,0.51,14.2,23.9,0.521,33.0,49.0,Sacramento Kings,2016,0
296,110.3,99.0,11.3,24.5,93.8,0.564,0.526,12.4,23.0,0.477,67.0,15.0,San Antonio Spurs,2016,0
297,110.0,105.2,4.8,18.7,92.9,0.552,0.504,12.3,24.6,0.498,56.0,26.0,Toronto Raptors,2016,0
298,105.9,103.9,2.0,19.0,91.0,0.54,0.501,14.2,25.9,0.495,40.0,42.0,Utah Jazz,2016,0
299,105.3,105.8,-0.5,24.5,98.5,0.544,0.511,13.1,20.6,0.515,41.0,41.0,Washington Wizards,2016,0
300,108.9,103.1,5.8,25.7,93.9,0.563,0.527,13.5,21.4,0.492,60.0,22.0,Atlanta Hawks,2015,0
301,104.7,104.5,0.2,24.5,95.8,0.523,0.489,12.5,24.7,0.494,40.0,42.0,Boston Celtics,2015,0
302,104.4,107.4,-3.0,20.9,92.7,0.529,0.491,13.0,23.9,0.506,38.0,44.0,Brooklyn Nets,2015,0
303,107.5,104.3,3.2,21.7,92.8,0.536,0.489,12.9,27.0,0.473,50.0,32.0,Chicago Bulls,2015,0
304,100.1,103.5,-3.4,20.2,93.0,0.498,0.456,11.2,22.1,0.487,33.0,49.0,Charlotte Hornets,2015,0
305,111.1,106.3,4.8,22.1,92.3,0.557,0.52,13.4,26.8,0.502,53.0,29.0,Cleveland Cavaliers,2015,0
306,109.5,106.4,3.1,22.5,95.2,0.55,0.515,11.9,23.6,0.503,50.0,32.0,Dallas Mavericks,2015,0
307,104.5,108.2,-3.7,21.8,96.1,0.518,0.479,12.7,26.6,0.504,30.0,52.0,Denver Nuggets,2015,0
308,105.3,106.4,-1.1,21.6,92.8,0.515,0.482,12.3,27.7,0.502,32.0,50.0,Detroit Pistons,2015,0
309,111.6,101.4,10.2,27.4,98.3,0.571,0.54,13.1,24.1,0.47,67.0,15.0,Golden State Warriors,2015,1
310,107.0,103.4,3.6,22.2,96.5,0.548,0.512,15.0,26.8,0.486,56.0,26.0,Houston Rockets,2015,0
311,103.5,103.2,0.3,21.4,93.2,0.523,0.484,13.1,24.0,0.478,38.0,44.0,Indiana Pacers,2015,0
312,112.4,105.5,6.9,24.8,94.7,0.565,0.533,11.6,22.8,0.493,56.0,26.0,Los Angeles Clippers,2015,0
313,103.4,110.6,-7.2,20.9,94.0,0.513,0.473,12.1,25.4,0.518,21.0,61.0,Los Angeles Lakers,2015,0
314,105.7,102.2,3.5,21.7,92.0,0.531,0.489,12.6,24.7,0.492,55.0,27.0,Memphis Grizzlies,2015,0
315,103.9,106.7,-2.8,19.8,90.9,0.54,0.5,14.5,23.2,0.505,37.0,45.0,Miami Heat,2015,0
316,102.7,102.2,0.5,23.6,94.1,0.536,0.499,15.5,25.4,0.487,41.0,41.0,Milwaukee Bucks,2015,0
317,102.9,112.2,-9.3,21.6,94.4,0.517,0.468,13.7,26.6,0.537,16.0,66.0,Minnesota Timberwolves,2015,0
318,108.2,107.3,0.9,22.0,91.4,0.537,0.501,12.5,27.1,0.496,45.0,37.0,New Orleans Pelicans,2015,0
319,99.9,110.0,-10.1,21.3,91.2,0.508,0.47,14.0,24.5,0.512,17.0,65.0,New York Knicks,2015,0
320,107.8,105.5,2.3,20.5,95.7,0.532,0.492,13.1,28.9,0.489,45.0,37.0,Oklahoma City Thunder,2015,0
321,101.6,107.7,-6.1,20.6,93.8,0.524,0.494,14.0,23.1,0.514,25.0,57.0,Orlando Magic,2015,0
322,95.5,104.8,-9.3,20.5,95.7,0.494,0.459,16.0,25.5,0.497,18.0,64.0,Philadelphia 76ers,2015,0
323,105.3,106.2,-0.9,20.2,96.3,0.537,0.501,13.7,24.5,0.497,39.0,43.0,Phoenix Suns,2015,0
324,108.2,103.7,4.5,21.9,94.2,0.544,0.508,12.6,24.2,0.476,51.0,31.0,Portland Trail Blazers,2015,0
325,105.3,109.2,-3.9,20.3,95.4,0.542,0.49,14.8,26.5,0.507,29.0,53.0,Sacramento Kings,2015,0
326,108.5,102.0,6.5,24.4,93.8,0.555,0.517,13.1,23.4,0.484,55.0,27.0,San Antonio Spurs,2015,0
327,111.0,107.7,3.3,20.7,92.8,0.553,0.508,12.0,25.6,0.506,49.0,33.0,Toronto Raptors,2015,0
328,105.1,104.9,0.2,19.9,90.4,0.531,0.494,14.6,29.1,0.491,38.0,44.0,Utah Jazz,2015,0
329,103.7,103.0,0.7,24.0,93.7,0.534,0.499,14.0,24.9,0.481,46.0,36.0,Washington Wizards,2015,0
330,105.9,106.4,-0.5,24.9,94.6,0.554,0.515,14.3,21.0,0.51,38.0,44.0,Atlanta Hawks,2014,0
331,102.9,107.7,-4.8,21.0,93.3,0.517,0.477,14.2,27.4,0.505,25.0,57.0,Boston Celtics,2014,0
332,106.7,107.7,-1.0,20.9,91.4,0.555,0.514,14.1,21.7,0.509,44.0,38.0,Brooklyn Nets,2014,0
333,103.6,103.8,-0.2,21.7,92.4,0.522,0.481,11.7,21.9,0.491,43.0,39.0,Charlotte Bobcats,2014,0
334,102.5,100.5,2.0,22.7,90.2,0.518,0.471,14.2,27.2,0.471,48.0,34.0,Chicago Bulls,2014,0
335,104.2,107.7,-3.5,21.2,93.1,0.518,0.479,13.0,27.2,0.508,33.0,49.0,Cleveland Cavaliers,2014,0
336,111.2,108.7,2.5,23.6,93.5,0.564,0.526,12.7,24.6,0.515,49.0,33.0,Dallas Mavericks,2014,0
337,106.0,108.2,-2.2,22.4,98.1,0.536,0.497,14.0,27.5,0.5,36.0,46.0,Denver Nuggets,2014,0
338,105.9,109.7,-3.8,20.9,94.9,0.514,0.482,12.9,31.4,0.52,29.0,53.0,Detroit Pistons,2014,0
339,107.5,102.6,4.9,23.3,96.2,0.55,0.517,13.8,25.1,0.477,51.0,31.0,Golden State Warriors,2014,0
340,111.0,106.3,4.7,21.4,96.3,0.571,0.531,14.6,27.4,0.489,54.0,28.0,Houston Rockets,2014,0
341,104.1,99.3,4.8,20.1,92.5,0.535,0.49,14.3,24.9,0.46,56.0,26.0,Indiana Pacers,2014,0
342,112.1,104.8,7.3,24.6,95.9,0.567,0.526,12.7,25.0,0.484,57.0,25.0,Los Angeles Clippers,2014,0
343,104.2,110.6,-6.4,24.5,98.7,0.542,0.505,13.7,20.2,0.513,27.0,55.0,Los Angeles Lakers,2014,0
344,106.3,104.6,1.7,21.9,89.9,0.529,0.494,13.1,28.3,0.497,50.0,32.0,Memphis Grizzlies,2014,0
345,110.9,105.8,5.1,22.5,91.2,0.59,0.554,14.6,20.6,0.511,54.0,28.0,Miami Heat,2014,0
346,103.0,111.8,-8.8,21.5,91.8,0.519,0.479,14.1,27.1,0.52,15.0,67.0,Milwaukee Bucks,2014,0
347,108.9,106.2,2.7,23.9,97.3,0.535,0.486,12.2,27.4,0.518,40.0,42.0,Minnesota Timberwolves,2014,0
348,107.2,110.1,-2.9,21.3,92.2,0.537,0.495,12.9,26.9,0.515,34.0,48.0,New Orleans Pelicans,2014,0
349,108.3,109.1,-0.8,20.0,90.3,0.541,0.505,12.5,25.1,0.514,37.0,45.0,New York Knicks,2014,0
350,110.5,103.9,6.6,21.9,95.4,0.566,0.52,14.0,26.5,0.488,59.0,23.0,Oklahoma City Thunder,2014,0
351,101.7,107.4,-5.7,21.0,93.6,0.525,0.487,13.9,22.4,0.504,23.0,59.0,Orlando Magic,2014,0
352,99.4,109.9,-10.5,21.8,99.2,0.51,0.475,14.8,24.8,0.524,19.0,63.0,Philadelphia 76ers,2014,0
353,109.5,106.7,2.8,19.1,95.8,0.558,0.519,14.0,26.4,0.496,48.0,34.0,Phoenix Suns,2014,0
354,111.5,107.4,4.1,23.2,94.9,0.548,0.504,12.4,28.0,0.488,54.0,28.0,Portland Trail Blazers,2014,0
355,105.7,108.8,-3.1,18.9,94.4,0.532,0.484,13.9,27.8,0.512,28.0,54.0,Sacramento Kings,2014,0
356,110.5,102.4,8.1,25.2,95.0,0.571,0.537,13.5,22.7,0.482,62.0,20.0,San Antonio Spurs,2014,1
357,108.8,105.3,3.5,21.2,91.8,0.545,0.498,13.2,27.2,0.493,48.0,34.0,Toronto Raptors,2014,0
358,103.5,111.3,-7.8,20.3,91.4,0.523,0.484,13.9,25.5,0.518,25.0,57.0,Utah Jazz,2014,0
359,106.0,104.6,1.4,23.3,93.2,0.538,0.506,13.6,25.2,0.504,44.0,38.0,Washington Wizards,2014,0
360,104.8,104.4,0.4,24.5,92.6,0.546,0.517,14.2,22.2,0.496,44.0,38.0,Atlanta Hawks,2013,0
361,103.1,103.3,-0.2,22.8,91.7,0.542,0.503,14.1,20.1,0.482,41.0,40.0,Boston Celtics,2013,0
362,108.2,106.2,2.0,20.3,88.8,0.536,0.498,14.0,30.9,0.503,49.0,33.0,Brooklyn Nets,2013,0
363,101.5,111.5,-10.0,19.4,91.5,0.507,0.46,13.2,25.7,0.524,21.0,61.0,Charlotte Bobcats,2013,0
364,103.5,103.2,0.3,23.0,89.3,0.512,0.47,13.6,29.4,0.477,45.0,37.0,Chicago Bulls,2013,0
365,104.3,109.4,-5.1,20.7,92.3,0.514,0.473,13.0,28.1,0.523,24.0,58.0,Cleveland Cavaliers,2013,0
366,105.9,106.5,-0.6,23.2,94.1,0.544,0.506,13.0,21.8,0.492,41.0,41.0,Dallas Mavericks,2013,0
367,110.4,105.1,5.3,24.4,95.1,0.549,0.515,13.6,31.4,0.493,57.0,25.0,Denver Nuggets,2013,0
368,103.8,108.1,-4.3,21.2,90.8,0.521,0.487,14.3,28.3,0.505,29.0,53.0,Detroit Pistons,2013,0
369,106.4,105.5,0.9,22.5,94.5,0.545,0.506,14.0,25.4,0.486,47.0,35.0,Golden State Warriors,2013,0
370,109.7,106.1,3.6,23.2,96.1,0.564,0.525,14.9,26.4,0.502,45.0,37.0,Houston Rockets,2013,0
371,104.3,99.8,4.5,20.3,90.2,0.521,0.479,14.3,30.3,0.453,49.0,32.0,Indiana Pacers,2013,0
372,110.6,103.6,7.0,23.9,91.1,0.557,0.526,13.9,28.8,0.492,56.0,26.0,Los Angeles Clippers,2013,0
373,107.8,106.6,1.2,22.2,94.4,0.548,0.512,13.9,27.0,0.496,45.0,37.0,Los Angeles Lakers,2013,0
374,104.9,100.3,4.6,20.9,88.4,0.514,0.472,13.3,31.0,0.475,56.0,26.0,Memphis Grizzlies,2013,0
375,112.3,103.7,8.6,23.0,90.7,0.588,0.552,13.7,22.2,0.487,66.0,16.0,Miami Heat,2013,1
376,103.6,105.2,-1.6,22.9,94.7,0.51,0.476,12.7,27.9,0.492,38.0,44.0,Milwaukee Bucks,2013,0
377,102.9,105.4,-2.5,22.4,92.8,0.516,0.473,13.8,27.4,0.511,31.0,51.0,Minnesota Timberwolves,2013,0
378,105.7,110.1,-4.4,21.0,88.5,0.528,0.489,14.0,29.2,0.52,27.0,55.0,New Orleans Hornets,2013,0
379,111.1,106.3,4.8,19.3,89.8,0.55,0.515,11.7,25.6,0.508,54.0,28.0,New York Knicks,2013,0
380,112.4,102.6,9.8,21.4,93.3,0.58,0.527,14.4,26.7,0.469,60.0,22.0,Oklahoma City Thunder,2013,0
381,101.6,109.1,-7.5,22.8,92.2,0.514,0.485,13.7,25.4,0.508,20.0,62.0,Orlando Magic,2013,0
382,102.0,105.7,-3.7,22.8,91.0,0.509,0.481,12.5,24.9,0.495,34.0,48.0,Philadelphia 76ers,2013,0
383,101.2,108.1,-6.9,22.6,93.4,0.512,0.477,14.3,27.0,0.512,25.0,57.0,Phoenix Suns,2013,0
384,105.8,109.2,-3.4,21.8,91.4,0.536,0.498,13.9,25.3,0.512,33.0,49.0,Portland Trail Blazers,2013,0
385,106.2,111.4,-5.2,20.8,93.6,0.532,0.491,13.4,26.6,0.517,28.0,54.0,Sacramento Kings,2013,0
386,108.3,101.6,6.7,25.1,94.2,0.568,0.531,14.0,20.5,0.48,58.0,24.0,San Antonio Spurs,2013,0
387,105.9,107.5,-1.6,21.5,90.4,0.532,0.488,13.0,25.5,0.5,34.0,48.0,Toronto Raptors,2013,0
388,106.7,106.8,-0.1,22.7,90.9,0.533,0.492,13.8,28.8,0.501,43.0,39.0,Utah Jazz,2013,0
389,100.2,103.0,-2.8,21.6,92.2,0.512,0.475,14.2,24.6,0.483,29.0,53.0,Washington Wizards,2013,0
390,104.9,101.2,3.7,22.4,90.2,0.535,0.5,13.4,23.9,0.48,40.0,26.0,Atlanta Hawks,2012,0
391,101.0,98.2,2.8,23.6,90.4,0.535,0.496,14.7,19.7,0.452,39.0,27.0,Boston Celtics,2012,0
392,95.2,110.4,-15.2,20.1,91.1,0.483,0.439,13.9,23.6,0.512,7.0,59.0,Charlotte Bobcats,2012,0
393,107.4,98.3,9.1,23.1,89.1,0.523,0.49,13.2,32.6,0.45,50.0,16.0,Chicago Bulls,2012,0
394,101.1,108.9,-7.8,19.8,91.3,0.505,0.463,14.3,28.9,0.508,21.0,45.0,Cleveland Cavaliers,2012,0
395,103.3,102.3,1.0,20.9,91.4,0.527,0.489,13.4,23.4,0.479,36.0,30.0,Dallas Mavericks,2012,0
396,109.2,106.2,3.0,24.0,94.2,0.556,0.516,14.1,27.7,0.508,38.0,28.0,Denver Nuggets,2012,0
397,101.0,106.3,-5.3,18.7,89.2,0.51,0.468,15.0,28.1,0.5,25.0,41.0,Detroit Pistons,2012,0
398,105.4,109.1,-3.7,22.3,92.3,0.539,0.505,13.3,22.9,0.496,23.0,43.0,Golden State Warriors,2012,0
399,105.5,105.2,0.3,21.3,91.7,0.529,0.492,13.5,27.5,0.49,34.0,32.0,Houston Rockets,2012,0
400,106.7,103.1,3.6,18.6,90.7,0.526,0.474,13.1,29.2,0.476,42.0,24.0,Indiana Pacers,2012,0
401,108.5,105.7,2.8,21.0,89.2,0.533,0.502,12.7,29.5,0.492,40.0,26.0,Los Angeles Clippers,2012,0
402,106.0,104.4,1.6,22.5,90.5,0.534,0.491,14.2,29.1,0.476,41.0,25.0,Los Angeles Lakers,2012,0
403,104.0,101.8,2.2,19.5,90.8,0.515,0.473,13.6,29.8,0.485,41.0,25.0,Memphis Grizzlies,2012,0
404,106.6,100.2,6.4,20.0,91.2,0.549,0.505,14.5,26.6,0.479,46.0,20.0,Miami Heat,2012,1
405,105.5,105.2,0.3,23.5,93.7,0.521,0.481,12.9,27.7,0.489,31.0,35.0,Milwaukee Bucks,2012,0
406,104.3,106.6,-2.3,19.5,93.3,0.524,0.477,14.0,27.5,0.491,26.0,40.0,Minnesota Timberwolves,2012,0
407,102.9,109.6,-6.7,19.9,90.1,0.516,0.473,14.3,27.8,0.513,22.0,44.0,New Jersey Nets,2012,0
408,100.9,105.1,-4.2,20.7,88.3,0.517,0.476,15.2,27.5,0.485,21.0,45.0,New Orleans Hornets,2012,0
409,104.4,101.0,3.4,20.1,93.2,0.533,0.492,14.9,26.6,0.485,36.0,30.0,New York Knicks,2012,0
410,109.8,103.2,6.6,18.5,93.0,0.567,0.516,15.3,27.8,0.465,47.0,19.0,Oklahoma City Thunder,2012,0
411,105.0,104.1,0.9,20.0,89.0,0.533,0.506,14.5,26.5,0.488,37.0,29.0,Orlando Magic,2012,0
412,103.9,99.2,4.7,22.0,89.7,0.511,0.48,10.9,24.4,0.46,35.0,31.0,Philadelphia 76ers,2012,0
413,106.2,106.5,-0.3,22.5,92.6,0.536,0.499,13.3,25.8,0.491,33.0,33.0,Phoenix Suns,2012,0
414,105.7,106.4,-0.7,20.4,91.2,0.531,0.488,13.4,26.3,0.504,28.0,38.0,Portland Trail Blazers,2012,0
415,103.8,109.8,-6.0,19.3,94.7,0.51,0.472,13.0,29.1,0.515,22.0,44.0,Sacramento Kings,2012,0
416,110.9,103.2,7.7,23.2,92.9,0.562,0.528,12.8,25.1,0.489,50.0,16.0,San Antonio Spurs,2012,0
417,100.8,104.5,-3.7,20.9,89.3,0.518,0.475,14.8,25.9,0.475,23.0,43.0,Toronto Raptors,2012,0
418,106.8,106.1,0.7,21.8,91.4,0.525,0.481,13.0,30.2,0.493,36.0,30.0,Utah Jazz,2012,0
419,101.0,106.2,-5.2,19.1,92.5,0.508,0.472,14.2,27.3,0.492,20.0,46.0,Washington Wizards,2012,0
420,106.1,107.0,-0.9,22.0,89.3,0.542,0.501,13.5,23.4,0.495,44.0,38.0,Atlanta Hawks,2011,0
421,106.2,100.3,5.9,23.4,90.4,0.561,0.519,14.5,21.1,0.469,56.0,26.0,Boston Celtics,2011,0
422,103.4,107.8,-4.4,21.1,89.6,0.528,0.482,14.1,25.7,0.5,34.0,48.0,Charlotte Bobcats,2011,0
423,108.3,100.3,8.0,22.3,90.4,0.541,0.501,13.5,29.4,0.463,62.0,20.0,Chicago Bulls,2011,0
424,102.2,111.8,-9.6,21.0,93.0,0.518,0.472,13.4,24.2,0.524,19.0,63.0,Cleveland Cavaliers,2011,0
